biz_date,oil_dtd_spot,luowen_steel_future,gold_comex_future,csi300_index
2001-01-18,,,264.80 ,
2001-01-19,,,264.90 ,
2001-01-22,,,267.00 ,
2001-01-23,,,266.70 ,
2001-01-24,,,264.60 ,
2001-01-25,,,264.80 ,
2001-01-26,,,262.90 ,
2001-01-29,,,262.80 ,
2001-01-30,,,268.00 ,
2001-01-31,,,268.00 ,
2001-02-01,,,270.70 ,
2001-02-02,,,269.30 ,
2001-02-05,,,267.40 ,
2001-02-06,,,265.40 ,
2001-02-07,,,264.90 ,
2001-02-08,,,262.20 ,
2001-02-09,,,262.00 ,
2001-02-12,,,262.70 ,
2001-02-13,,,262.20 ,
2001-02-14,,,261.20 ,
2001-02-15,,,256.90 ,
2001-02-16,,,259.80 ,
2001-02-20,,,257.60 ,
2001-02-21,,,259.40 ,
2001-02-22,,,259.80 ,
2001-02-23,,,262.10 ,
2001-02-26,,,266.80 ,
2001-02-27,,,268.40 ,
2001-02-28,,,267.80 ,
2001-03-01,,,266.20 ,
2001-03-02,,,263.10 ,
2001-03-05,,,263.50 ,
2001-03-06,,,260.90 ,
2001-03-07,,,262.40 ,
2001-03-08,,,266.10 ,
2001-03-09,,,271.50 ,
2001-03-12,,,272.30 ,
2001-03-13,,,267.50 ,
2001-03-14,,,262.90 ,
2001-03-15,,,260.30 ,
2001-03-16,,,258.40 ,
2001-03-19,,,260.10 ,
2001-03-20,,,260.80 ,
2001-03-21,,,262.20 ,
2001-03-22,,,261.40 ,
2001-03-23,,,261.70 ,
2001-03-26,,,262.10 ,
2001-03-27,,,261.10 ,
2001-03-28,,,259.70 ,
2001-03-29,,,260.40 ,
2001-03-30,,,259.20 ,
2001-04-02,,,256.60 ,
2001-04-03,,,257.90 ,
2001-04-04,,,259.40 ,
2001-04-05,,,259.10 ,
2001-04-06,,,260.90 ,
2001-04-09,,,259.20 ,
2001-04-10,,,258.20 ,
2001-04-11,,,259.60 ,
2001-04-12,,,260.90 ,
2001-04-16,,,264.10 ,
2001-04-17,,,261.80 ,
2001-04-18,,,262.00 ,
2001-04-19,,,266.00 ,
2001-04-20,,,265.40 ,
2001-04-23,,,264.30 ,
2001-04-24,,,264.70 ,
2001-04-25,,,262.60 ,
2001-04-26,,,264.50 ,
2001-04-27,,,264.30 ,
2001-04-30,,,264.40 ,
2001-05-01,,,264.80 ,
2001-05-02,,,265.80 ,
2001-05-03,,,266.70 ,
2001-05-04,,,266.50 ,
2001-05-07,,,266.50 ,
2001-05-08,,,265.50 ,
2001-05-09,,,270.40 ,
2001-05-10,,,269.50 ,
2001-05-11,,,268.30 ,
2001-05-14,,,268.70 ,
2001-05-15,,,268.50 ,
2001-05-16,,,272.40 ,
2001-05-17,,,274.00 ,
2001-05-18,,,287.80 ,
2001-05-21,,,285.80 ,
2001-05-22,,,285.50 ,
2001-05-23,,,284.00 ,
2001-05-24,,,279.40 ,
2001-05-25,,,278.20 ,
2001-05-29,,,273.90 ,
2001-05-30,,,267.40 ,
2001-05-31,,,266.90 ,
2001-06-01,,,268.00 ,
2001-06-04,,,266.50 ,
2001-06-05,,,267.10 ,
2001-06-06,,,267.00 ,
2001-06-07,,,267.30 ,
2001-06-08,,,274.50 ,
2001-06-11,,,268.90 ,
2001-06-12,,,272.60 ,
2001-06-13,,,273.10 ,
2001-06-14,,,276.40 ,
2001-06-15,,,272.30 ,
2001-06-18,,,273.40 ,
2001-06-19,,,274.40 ,
2001-06-20,,,273.40 ,
2001-06-21,,,273.60 ,
2001-06-22,,,273.30 ,
2001-06-25,,,274.70 ,
2001-06-26,,,277.00 ,
2001-06-27,,,272.80 ,
2001-06-28,,,270.00 ,
2001-06-29,,,271.30 ,
2001-07-02,,,270.10 ,
2001-07-03,,,268.30 ,
2001-07-05,,,265.80 ,
2001-07-06,,,266.60 ,
2001-07-09,,,267.00 ,
2001-07-10,,,266.70 ,
2001-07-11,,,268.80 ,
2001-07-12,,,267.10 ,
2001-07-13,,,267.60 ,
2001-07-16,,,267.40 ,
2001-07-17,,,268.60 ,
2001-07-18,,,270.80 ,
2001-07-19,,,269.70 ,
2001-07-20,,,270.20 ,
2001-07-23,,,269.10 ,
2001-07-24,,,270.00 ,
2001-07-25,,,267.80 ,
2001-07-26,,,266.30 ,
2001-07-27,,,267.40 ,
2001-07-30,,,267.60 ,
2001-07-31,,,269.20 ,
2001-08-01,,,270.30 ,
2001-08-02,,,270.30 ,
2001-08-03,,,270.80 ,
2001-08-06,,,269.90 ,
2001-08-07,,,269.90 ,
2001-08-08,,,270.70 ,
2001-08-09,,,276.20 ,
2001-08-10,,,276.80 ,
2001-08-13,,,278.60 ,
2001-08-14,,,279.10 ,
2001-08-15,,,278.40 ,
2001-08-16,,,277.90 ,
2001-08-17,,,282.00 ,
2001-08-20,,,278.60 ,
2001-08-21,,,277.40 ,
2001-08-22,,,277.30 ,
2001-08-23,,,277.70 ,
2001-08-24,,,274.90 ,
2001-08-27,,,274.90 ,
2001-08-28,,,274.40 ,
2001-08-29,,,275.80 ,
2001-08-30,,,277.50 ,
2001-08-31,,,276.50 ,
2001-09-04,,,273.70 ,
2001-09-05,,,274.10 ,
2001-09-06,,,275.00 ,
2001-09-07,,,275.10 ,
2001-09-10,,,273.70 ,
2001-09-11,,,280.00 ,
2001-09-17,,,293.40 ,
2001-09-18,,,289.70 ,
2001-09-19,,,292.30 ,
2001-09-20,,,289.80 ,
2001-09-21,,,292.90 ,
2001-09-24,,,290.90 ,
2001-09-25,,,291.80 ,
2001-09-26,,,294.80 ,
2001-09-27,,,293.20 ,
2001-09-28,,,294.00 ,
2001-10-01,,,293.70 ,
2001-10-02,,,291.50 ,
2001-10-03,,,290.80 ,
2001-10-04,,,291.60 ,
2001-10-05,,,292.50 ,
2001-10-08,,,293.80 ,
2001-10-09,,,290.70 ,
2001-10-10,,,286.70 ,
2001-10-11,,,282.60 ,
2001-10-12,,,285.70 ,
2001-10-15,,,282.70 ,
2001-10-16,,,282.90 ,
2001-10-17,,,284.00 ,
2001-10-18,,,279.80 ,
2001-10-19,,,280.70 ,
2001-10-22,,,276.10 ,
2001-10-23,,,276.50 ,
2001-10-24,,,276.30 ,
2001-10-25,,,278.20 ,
2001-10-26,,,278.30 ,
2001-10-29,,,279.70 ,
2001-10-30,,,281.20 ,
2001-10-31,,,280.50 ,
2001-11-01,,,280.70 ,
2001-11-02,,,280.80 ,
2001-11-05,,,279.50 ,
2001-11-06,,,280.20 ,
2001-11-07,,,281.30 ,
2001-11-08,,,277.10 ,
2001-11-09,,,277.70 ,
2001-11-12,,,278.60 ,
2001-11-13,,,278.00 ,
2001-11-14,,,278.40 ,
2001-11-15,,,275.30 ,
2001-11-16,,,274.90 ,
2001-11-19,,,272.90 ,
2001-11-20,,,273.20 ,
2001-11-21,,,273.60 ,
2001-11-27,,,273.90 ,
2001-11-29,,,273.50 ,
2001-11-30,,,274.90 ,
2001-12-03,,,277.70 ,
2001-12-04,,,276.30 ,
2001-12-05,,,274.60 ,
2001-12-06,,,274.80 ,
2001-12-07,,,274.70 ,
2001-12-10,,,273.00 ,
2001-12-11,,,272.90 ,
2001-12-12,,,274.50 ,
2001-12-13,,,274.60 ,
2001-12-14,,,278.60 ,
2001-12-17,,,278.30 ,
2001-12-18,,,280.60 ,
2001-12-19,,,276.00 ,
2001-12-20,,,276.50 ,
2001-12-21,,,278.30 ,
2001-12-26,20.25 ,,,
2001-12-27,19.78 ,,277.40 ,
2001-12-28,19.71 ,,276.80 ,
2001-12-31,19.01 ,,279.00 ,
2002-01-02,20.29 ,,278.90 ,
2002-01-03,19.82 ,,278.50 ,
2002-01-04,21.25 ,,279.20 ,1316.46
2002-01-07,20.85 ,,278.90 ,1302.08
2002-01-08,20.78 ,,278.90 ,1292.71
2002-01-09,19.85 ,,283.70 ,1272.65
2002-01-10,20.17 ,,287.40 ,1281.26
2002-01-11,19.35 ,,288.10 ,1249.81
2002-01-14,18.58 ,,285.70 ,1205.15
2002-01-15,,,284.70 ,1186.43
2002-01-16,18.71 ,,287.60 ,1201.88
2002-01-17,18.02 ,,284.70 ,1152.15
2002-01-18,18.05 ,,283.40 ,1149.48
2002-01-21,18.56 ,,,1108.61
2002-01-22,18.80 ,,281.80 ,1109.99
2002-01-23,19.20 ,,278.90 ,1183.15
2002-01-24,19.51 ,,278.40 ,1189.58
2002-01-25,19.75 ,,279.10 ,1189.43
2002-01-28,19.95 ,,278.50 ,1112.84
2002-01-29,19.59 ,,281.40 ,1140.38
2002-01-30,19.20 ,,282.30 ,1145.86
2002-01-31,19.54 ,,282.90 ,1221.76
2002-02-01,20.39 ,,286.80 ,1215.74
2002-02-04,20.22 ,,290.10 ,1236.97
2002-02-05,19.99 ,,299.10 ,1246.84
2002-02-06,19.69 ,,298.30 ,1216.79
2002-02-07,19.71 ,,300.60 ,1241.02
2002-02-08,20.23 ,,304.40 ,1235.09
2002-02-11,20.91 ,,300.80 ,
2002-02-12,20.59 ,,301.30 ,
2002-02-13,20.66 ,,300.00 ,
2002-02-14,20.64 ,,300.20 ,
2002-02-15,20.59 ,,298.90 ,
2002-02-18,19.82 ,,,
2002-02-19,19.68 ,,293.60 ,
2002-02-20,19.37 ,,292.60 ,
2002-02-21,19.84 ,,293.50 ,
2002-02-22,19.84 ,,293.50 ,
2002-02-25,19.63 ,,292.90 ,1254.61
2002-02-26,20.61 ,,298.20 ,1253.12
2002-02-27,20.49 ,,296.60 ,1256.00
2002-02-28,21.06 ,,297.10 ,1244.60
2002-03-01,21.50 ,,298.40 ,1227.23
2002-03-04,21.56 ,,297.10 ,1245.87
2002-03-05,22.25 ,,294.40 ,1275.61
2002-03-06,22.15 ,,293.90 ,1288.44
2002-03-07,22.62 ,,290.50 ,1328.39
2002-03-08,22.93 ,,290.30 ,1351.85
2002-03-11,23.42 ,,291.30 ,1377.04
2002-03-12,23.35 ,,293.80 ,1362.40
2002-03-13,23.34 ,,293.80 ,1343.14
2002-03-14,23.93 ,,291.20 ,1376.33
2002-03-15,23.88 ,,290.10 ,1338.72
2002-03-18,24.36 ,,292.30 ,1341.91
2002-03-19,24.37 ,,293.00 ,1368.38
2002-03-20,23.99 ,,292.40 ,1382.42
2002-03-21,25.14 ,,293.10 ,1385.79
2002-03-22,25.01 ,,297.60 ,1369.90
2002-03-25,24.95 ,,297.40 ,1373.01
2002-03-26,24.99 ,,296.80 ,1350.01
2002-03-27,25.13 ,,302.20 ,1354.10
2002-03-28,25.71 ,,303.70 ,1352.53
2002-03-29,,,,1313.47
2002-04-01,26.02 ,,304.20 ,1317.58
2002-04-02,26.93 ,,307.00 ,1296.57
2002-04-03,26.74 ,,303.50 ,1302.25
2002-04-04,26.20 ,,302.00 ,1337.73
2002-04-05,25.92 ,,301.00 ,1332.20
2002-04-08,26.17 ,,301.30 ,1333.71
2002-04-09,24.73 ,,299.50 ,1357.74
2002-04-10,24.62 ,,302.50 ,1366.72
2002-04-11,23.77 ,,303.00 ,1344.73
2002-04-12,22.56 ,,302.90 ,1350.69
2002-04-15,23.35 ,,300.70 ,1344.58
2002-04-16,24.14 ,,299.50 ,1341.50
2002-04-17,25.17 ,,302.80 ,1341.77
2002-04-18,25.66 ,,305.20 ,1326.55
2002-04-19,25.99 ,,303.00 ,1330.64
2002-04-22,26.21 ,,303.60 ,1324.87
2002-04-23,26.58 ,,304.60 ,1318.66
2002-04-24,25.86 ,,304.80 ,1309.73
2002-04-25,26.51 ,,308.60 ,1312.48
2002-04-26,26.87 ,,312.10 ,1331.71
2002-04-29,27.33 ,,311.50 ,1349.79
2002-04-30,27.24 ,,309.20 ,1353.61
2002-05-01,25.56 ,,309.40 ,
2002-05-02,26.56 ,,308.60 ,
2002-05-03,26.30 ,,312.50 ,
2002-05-06,25.81 ,,311.50 ,
2002-05-07,25.85 ,,311.90 ,
2002-05-08,26.27 ,,308.50 ,1342.29
2002-05-09,26.07 ,,309.80 ,1344.78
2002-05-10,26.44 ,,311.30 ,1335.45
2002-05-13,26.67 ,,310.90 ,1319.81
2002-05-14,27.07 ,,307.60 ,1311.68
2002-05-15,25.80 ,,309.00 ,1300.12
2002-05-16,25.77 ,,310.10 ,1261.52
2002-05-17,25.45 ,,310.90 ,1277.24
2002-05-20,25.04 ,,316.00 ,1258.83
2002-05-21,24.10 ,,316.10 ,1298.88
2002-05-22,24.28 ,,318.30 ,1280.16
2002-05-23,24.25 ,,322.80 ,1284.84
2002-05-24,24.21 ,,320.70 ,1265.97
2002-05-27,24.30 ,,,1270.34
2002-05-28,24.34 ,,324.10 ,1270.38
2002-05-29,24.51 ,,325.50 ,1246.02
2002-05-30,23.56 ,,326.70 ,1245.89
2002-05-31,23.68 ,,327.50 ,1238.58
2002-06-03,23.39 ,,327.70 ,1213.39
2002-06-04,23.64 ,,328.80 ,1219.52
2002-06-05,23.31 ,,322.10 ,1196.62
2002-06-06,23.36 ,,325.80 ,1245.61
2002-06-07,23.26 ,,325.40 ,1252.51
2002-06-10,22.94 ,,319.50 ,1243.74
2002-06-11,22.63 ,,320.50 ,1252.85
2002-06-12,22.97 ,,321.10 ,1246.84
2002-06-13,23.95 ,,318.50 ,1235.57
2002-06-14,24.44 ,,319.80 ,1222.12
2002-06-17,24.84 ,,318.10 ,1224.65
2002-06-18,24.38 ,,319.70 ,1248.84
2002-06-19,24.37 ,,320.30 ,1236.05
2002-06-20,24.58 ,,323.70 ,1245.08
2002-06-21,24.40 ,,325.10 ,1288.52
2002-06-24,25.31 ,,324.70 ,1409.51
2002-06-25,24.99 ,,320.50 ,1409.23
2002-06-26,25.10 ,,320.80 ,1417.31
2002-06-27,25.35 ,,319.60 ,1422.51
2002-06-28,25.52 ,,313.90 ,1431.18
2002-07-01,25.71 ,,314.40 ,1415.33
2002-07-02,25.85 ,,313.20 ,1425.81
2002-07-03,25.90 ,,311.30 ,1427.39
2002-07-04,25.64 ,,,1412.62
2002-07-05,25.83 ,,,1415.40
2002-07-08,25.10 ,,,1423.70
2002-07-09,25.27 ,,319.50 ,1419.47
2002-07-10,25.76 ,,315.10 ,1392.90
2002-07-11,25.75 ,,317.60 ,1390.93
2002-07-12,26.24 ,,315.90 ,1389.45
2002-07-15,25.88 ,,319.90 ,1379.38
2002-07-16,26.36 ,,317.50 ,1382.41
2002-07-17,26.78 ,,317.70 ,1393.02
2002-07-18,26.58 ,,317.10 ,1397.41
2002-07-19,26.73 ,,323.90 ,1403.25
2002-07-22,25.56 ,,323.40 ,1380.28
2002-07-23,25.15 ,,312.60 ,1375.61
2002-07-24,25.53 ,,311.50 ,1372.89
2002-07-25,25.44 ,,309.70 ,1365.00
2002-07-26,25.28 ,,303.30 ,1361.41
2002-07-29,25.30 ,,303.50 ,1368.80
2002-07-30,26.24 ,,306.00 ,1371.91
2002-07-31,25.89 ,,305.20 ,1358.16
2002-08-01,25.47 ,,306.00 ,1355.30
2002-08-02,25.90 ,,309.00 ,1359.99
2002-08-05,25.26 ,,309.60 ,1353.48
2002-08-06,25.79 ,,307.30 ,1368.99
2002-08-07,25.17 ,,316.10 ,1366.80
2002-08-08,25.51 ,,312.20 ,1359.68
2002-08-09,25.71 ,,316.00 ,1350.31
2002-08-12,26.27 ,,315.80 ,1340.22
2002-08-13,26.52 ,,315.90 ,1342.36
2002-08-14,26.65 ,,313.50 ,1351.51
2002-08-15,27.48 ,,316.10 ,1340.97
2002-08-16,27.47 ,,315.40 ,1349.62
2002-08-19,27.66 ,,307.70 ,1347.16
2002-08-20,27.27 ,,310.40 ,1370.05
2002-08-21,27.80 ,,309.30 ,1370.96
2002-08-22,27.28 ,,308.30 ,1381.55
2002-08-23,27.14 ,,308.30 ,1379.42
2002-08-26,27.43 ,,311.00 ,1366.18
2002-08-27,27.14 ,,313.90 ,1369.76
2002-08-28,26.86 ,,310.90 ,1368.40
2002-08-29,27.35 ,,314.40 ,1362.67
2002-08-30,27.49 ,,313.90 ,1361.30
2002-09-02,,,,1362.15
2002-09-03,26.64 ,,315.00 ,1366.71
2002-09-04,27.14 ,,316.50 ,1358.78
2002-09-05,27.75 ,,319.80 ,1341.47
2002-09-06,28.33 ,,321.50 ,1334.34
2002-09-09,28.47 ,,322.80 ,1323.13
2002-09-10,28.41 ,,319.40 ,1324.21
2002-09-11,28.55 ,,318.10 ,1319.03
2002-09-12,27.82 ,,320.40 ,1322.23
2002-09-13,28.64 ,,318.10 ,1321.81
2002-09-16,28.50 ,,318.50 ,1302.62
2002-09-17,27.86 ,,318.20 ,1304.38
2002-09-18,28.30 ,,321.80 ,1295.56
2002-09-19,28.54 ,,323.90 ,1319.82
2002-09-20,28.42 ,,323.20 ,1305.75
2002-09-23,29.52 ,,324.10 ,1304.92
2002-09-24,29.16 ,,327.20 ,1299.19
2002-09-25,29.28 ,,323.60 ,1299.52
2002-09-26,29.02 ,,321.70 ,1291.38
2002-09-27,29.01 ,,321.10 ,1285.65
2002-09-30,28.88 ,,325.20 ,
2002-10-01,29.07 ,,322.20 ,
2002-10-02,28.92 ,,322.80 ,
2002-10-03,28.43 ,,322.40 ,
2002-10-04,28.51 ,,323.30 ,
2002-10-07,28.57 ,,323.10 ,
2002-10-08,28.40 ,,319.40 ,1272.94
2002-10-09,28.45 ,,320.80 ,1247.53
2002-10-10,28.00 ,,317.40 ,1241.55
2002-10-11,28.29 ,,317.20 ,1237.14
2002-10-14,28.85 ,,318.60 ,1243.74
2002-10-15,28.73 ,,313.40 ,1238.97
2002-10-16,28.34 ,,314.70 ,1247.72
2002-10-17,28.61 ,,312.20 ,1228.26
2002-10-18,28.34 ,,313.30 ,1233.67
2002-10-21,27.07 ,,311.50 ,1237.36
2002-10-22,26.56 ,,313.60 ,1254.74
2002-10-23,26.74 ,,312.60 ,1255.64
2002-10-24,26.67 ,,311.20 ,1244.56
2002-10-25,25.96 ,,313.90 ,1233.58
2002-10-28,25.60 ,,315.60 ,1219.43
2002-10-29,25.28 ,,318.10 ,1226.78
2002-10-30,25.37 ,,316.90 ,1225.94
2002-10-31,25.62 ,,318.40 ,1225.34
2002-11-01,25.28 ,,319.20 ,1227.85
2002-11-04,24.99 ,,318.70 ,1246.80
2002-11-05,24.10 ,,318.60 ,1265.73
2002-11-06,23.70 ,,317.90 ,1260.05
2002-11-07,23.47 ,,320.90 ,1259.87
2002-11-08,23.62 ,,321.70 ,1232.95
2002-11-11,23.81 ,,321.60 ,1218.36
2002-11-12,23.72 ,,324.70 ,1200.92
2002-11-13,22.58 ,,318.90 ,1206.42
2002-11-14,22.76 ,,318.50 ,1183.64
2002-11-15,23.05 ,,320.90 ,1186.92
2002-11-18,23.83 ,,319.40 ,1174.83
2002-11-19,23.62 ,,318.80 ,1182.64
2002-11-20,24.17 ,,317.60 ,1154.90
2002-11-21,24.32 ,,318.00 ,1125.38
2002-11-22,24.86 ,,320.90 ,1128.07
2002-11-25,24.21 ,,318.40 ,1133.17
2002-11-26,24.60 ,,317.70 ,1111.05
2002-11-27,25.24 ,,316.80 ,1118.96
2002-11-28,24.90 ,,,1150.59
2002-11-29,25.25 ,,,1164.62
2002-12-02,25.86 ,,,1132.93
2002-12-03,26.14 ,,320.70 ,1144.63
2002-12-04,25.48 ,,,1147.54
2002-12-05,26.27 ,,325.60 ,1139.75
2002-12-06,25.96 ,,327.10 ,1139.80
2002-12-09,26.50 ,,326.50 ,1136.25
2002-12-10,27.02 ,,324.20 ,1122.91
2002-12-11,26.98 ,,325.50 ,1117.44
2002-12-12,27.60 ,,332.10 ,1122.23
2002-12-13,27.89 ,,333.80 ,1132.08
2002-12-16,29.42 ,,337.60 ,1141.52
